ID товара;Артикул;Категория;URL категории;Товар;Вариант;Краткое описание;Описание;Цена;Старая цена;URL товара;Изображение;Количество;Активность;Заголовок [SEO];Ключевые слова [SEO];Описание [SEO];Рекомендуемый;Новый;Сортировка;Вес;Связанные артикулы;Смежные категории;Ссылка на товар;Валюта;Единицы измерения;Мощность, Вт: ;Длина конвектора: ;Производитель: ;Ширина конвектора: ;Высота конвектора: ;Сложные характеристики
877;KVZ 200-65-600;Techno Usual;techno-usual;KVZ 200-65-600 Techno Usual. Встраиваемый конвектор с естественной конвекцией Techno Usual;;;"<h1>	ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1><p>	<strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p><p>	Встраиваемый конвектор&nbsp;<strong>Techno Usual</strong>&nbsp;- прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p><p>	<strong>ВОЗМОЖНЫЕ<br />	РАЗМЕРЫ</strong></p><p>	<strong>Ширина (мм):</strong><br />	200, 250, 350, 420</p><p>	<strong>Высота (мм):</strong><br />	65, 85, 105, 120, 140</p><p>	<strong>Длина (мм):</strong><br />	600 - 4.800</p><h2>	РАБОЧИЕ УСЛОВИЯ</h2><ul>	<li>		<strong>Рабочее давление теплоносителя</strong>&nbsp;— 16&nbsp;бар	</li>	<li>		<strong>Давление гидравлического испытания</strong>&nbsp;— 30&nbsp;бар	</li>	<li>		<strong>Максимальная рабочая температура теплоносителя</strong>&nbsp;— 130°С	</li>	<li>		<strong>Тип теплоносителя</strong>&nbsp;— вода или гликоль	</li></ul><p>	Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p><h2>	КОНСТРУКЦИЯ</h2><p>	+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />	+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />	+ Комплект крепежно-регулировочных ножек<br />	+ Воздухоспускной клапан 1/8<br />	+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />	+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола&nbsp;(тип профиля рамки не влияет на стоимость конвектора)<br />	+&nbsp;Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p><h2>	ОПЦИИ</h2><p>	+ Окрашивание теплообменника в цвет корпуса&nbsp;(+10% к цене конвектора)<br />	+ Изготовление корпуса из нержавеющей стали&nbsp;(+20% к цене конвектора)<br />	+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в&nbsp;данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />	+ Комплектация вентилятором и&nbsp;автоматикой&nbsp; &nbsp;<br />	+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";5 118;;kvz-200-65-600-techno-usual-vstraivaemyy-konvektor-s-estestvennoy-konvektsiey-techno-usual;1566210015.jpeg;-1;1;KVZ 200-65-600 Techno Usual. Встраиваемый конвектор с естественной конвекцией Techno Usual;KVZ 200-65-600 Techno Usual. Встраиваемый конвектор с естественной конвекцией Techno Usual купить, KVZ 200-65-600, KVZ 200-65-600, Techno, Usual., Встраиваемый, конвектор, с естественной, конвекцией, Techno, Usual;ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL Внутрипольный конвектор с естественной конвекцией без вентилятора Встраиваемый конвекторTechno Usual- прибор с естественной конвекцией для обогрева помещений с большой площадью остекления;0;0;877;0;;;;RUR;шт.;116;600;Techno;200;65;
878;KVZ 200-65-700;Techno Usual;techno-usual;KVZ 200-65-700 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";5 522;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;700;Techno;200;65;
879;KVZ 200-65-800;Techno Usual;techno-usual;KVZ 200-65-800 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";5 850;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;800;Techno;200;65;
880;KVZ 200-65-900;Techno Usual;techno-usual;KVZ 200-65-900 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";6 187;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;900;Techno;200;65;
881;KVZ 200-65-1000;Techno Usual;techno-usual;KVZ 200-65-1000 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";6 504;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;1000;Techno;200;65;
882;KVZ 200-65-1100;Techno Usual;techno-usual;KVZ 200-65-1100 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";6 755;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;1100;Techno;200;65;
883;KVZ 200-65-1200;Techno Usual;techno-usual;KVZ 200-65-1200 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";7 007;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;1200;Techno;200;65;
884;KVZ 200-65-1300;Techno Usual;techno-usual;KVZ 200-65-1300 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";7 529;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;1300;Techno;200;65;
885;KVZ 200-65-1400;Techno Usual;techno-usual;KVZ 200-65-1400 Techno Usual. Встраиваемый конвектор с естественной конвекцией;;;"<h1>ВСТРАИВАЕМЫЕ КОНВЕКТОРЫ TECHNO USUAL</h1>

<p><strong>Внутрипольный конвектор с естественной конвекцией без вентилятора</strong></p>

<p>Встраиваемый конвектор <strong>Techno Usual</strong> - прибор с естественной конвекцией для обогрева помещений с большой площадью остекления. Подходит для установки как в жилых, так и в офисных зданиях с панорамными окнами и низкими подоконниками. По необходимости конвекторы Techno Usual могут быть укомплектованы тангенциальными вентиляторами, имеющими съемную конструкцию, которые можно установить самостоятельно в любой момент использования прибора. Приборы с малой высотой корпуса могут быть установлены в неглубокий пол или подоконник.</p>

<p><strong>ВОЗМОЖНЫЕ<br />
РАЗМЕРЫ</strong></p>

<p><strong>Ширина (мм):</strong><br />
200, 250, 350, 420</p>

<p><strong>Высота (мм):</strong><br />
65, 85, 105, 120, 140</p>

<p><strong>Длина (мм):</strong><br />
600 - 4.800</p>

<h2>РАБОЧИЕ УСЛОВИЯ</h2>

<ul>
	<li><strong>Рабочее давление теплоносителя</strong> — 16 бар</li>
	<li><strong>Давление гидравлического испытания</strong> — 30 бар</li>
	<li><strong>Максимальная рабочая температура теплоносителя</strong> — 130°С</li>
	<li><strong>Тип теплоносителя</strong> — вода или гликоль</li>
</ul>

<p>Встраиваемые конвекторы Techno полностью адаптированы для эксплуатации в российских системах центрального и автономного водяного отопления, могут быть установлены как в однотрубную, так и в двухтрубную систему. Рекомендованы для применения в системах отопления с принудительной циркуляцией.</p>

<h2>КОНСТРУКЦИЯ</h2>

<p>+ Корпус из высококачественной листовой оцинкованной стали толщиной 1,2 мм, покрыт износостойким полиэфирным порошковым покрытием тёмно-графитного цвета (RAL 7016) с дополнительными ребрами жесткости<br />
+ Теплообменник из цельногнутой медной трубы и алюминиевых ламелей с узлом подключения G1/2<br />
+ Комплект крепежно-регулировочных ножек<br />
+ Воздухоспускной клапан 1/8<br />
+ Рулонная или продольная решетка из анодированного (либо окрашенного по RAL) алюминия, дерева<br />
+ Окантовочный U-образный либо F-образный профиль из алюминия, выполненный в цвет решетки, позволяет встраивать конвектор в любой тип пола (тип профиля рамки не влияет на стоимость конвектора)<br />
+ Встраиваемые конвекторы длиной до 2400 мм - цельные, конвекторы свыше 2400 мм состоят из нескольких секций</p>

<h2>ОПЦИИ</h2>

<p>+ Окрашивание теплообменника в цвет корпуса (+10% к цене конвектора)<br />
+ Изготовление корпуса из нержавеющей стали (+20% к цене конвектора)<br />
+ Изготовление конвектора для влажных помещений (серия WD) со сливным патрубком, в данном исполнении теплообменник окрашивается в цвет корпуса обязательно<br />
+ Комплектация вентилятором и автоматикой   <br />
+ Возможно изготовление конвекторов любых нестандартных размеров и конфигураций по ТЗ заказчика</p>";8 051;;;techno.jpg;;;;;;;;;;;;;RUR;шт.;;1400;Techno;200;65;
